rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,13,13,0,2019-06-08,2019,23
2,Bad Guy,Billie Eilish,3,9,3,2019-06-08,2019,23
3,Talk,Khalid,5,16,5,2019-06-08,2019,23
4,I Don't Care,Ed Sheeran & Justin Bieber,2,2,3,2019-06-08,2019,23
5,Sucker,Jonas Brothers,4,1,13,2019-06-08,2019,23
6,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,7,1,32,2019-06-08,2019,23
7,Wow.,Post Malone,6,2,23,2019-06-08,2019,23
8,Dancing With A Stranger,Sam Smith & Normani,7,20,7,2019-06-08,2019,23
9,Suge,DaBaby,14,14,0,2019-06-08,2019,23
10,Sweet But Psycho,Ava Max,24,24,0,2019-06-08,2019,23
11,ME!,Taylor Swift Featuring Brendon Urie,9,2,6,2019-06-08,2019,23
12,The London,"Young Thug, J. Cole & Travis Scott",-,1,-,2019-06-08,2019,23
13,Without Me,Halsey,11,1,34,2019-06-08,2019,23
14,7 Rings,Ariana Grande,12,1,19,2019-06-08,2019,23
15,If I Can't Have You,Shawn Mendes,16,2,4,2019-06-08,2019,23
16,Happier,Marshmello & Bastille,18,2,41,2019-06-08,2019,23
17,Whiskey Glasses,Morgan Wallen,26,13,26,2019-06-08,2019,23
18,Middle Child,J. Cole,17,4,19,2019-06-08,2019,23
19,High Hopes,Panic! At The Disco,22,4,43,2019-06-08,2019,23
20,God's Country,Blake Shelton,24,9,24,2019-06-08,2019,23
21,EARFQUAKE,"Tyler, The Creator",13,13,2,2019-06-08,2019,23
22,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,27,17,27,2019-06-08,2019,23
23,Going Bad,Meek Mill Featuring Drake,6,26,6,2019-06-08,2019,23
24,Eastside,"benny blanco, Halsey & Khalid",25,9,46,2019-06-08,2019,23
25,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,20,2,16,2019-06-08,2019,23
26,Truth Hurts,Lizzo,38,4,38,2019-06-08,2019,23
27,Pop Out,Polo G Featuring Lil Tjay,31,10,31,2019-06-08,2019,23
28,Look Back At It,A Boogie Wit da Hoodie,29,27,25,2019-06-08,2019,23
29,Nightmare,Halsey,15,15,2,2019-06-08,2019,23
30,Pure Water,Mustard & Migos,28,23,18,2019-06-08,2019,23
31,Act Up,City Girls,34,29,13,2019-06-08,2019,23
32,Sicko Mode,Travis Scott,1,43,1,2019-06-08,2019,23
33,Better,Khalid,30,8,37,2019-06-08,2019,23
34,Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,-,1,-,2019-06-08,2019,23
35,Please Me,Cardi B & Bruno Mars,33,3,15,2019-06-08,2019,23
36,Good As You,Kane Brown,37,14,37,2019-06-08,2019,23
37,Shallow,Lady Gaga & Bradley Cooper,36,1,35,2019-06-08,2019,23
38,Envy Me,Calboy,39,31,24,2019-06-08,2019,23
39,Beer Never Broke My Heart,Luke Combs,41,29,4,2019-06-08,2019,23
40,"Hey Look Ma, I Made It",Panic! At The Disco,47,7,47,2019-06-08,2019,23
41,Rumor,Lee Brice,45,12,45,2019-06-08,2019,23
42,When The Party's Over,Billie Eilish,40,29,29,2019-06-08,2019,23
43,Wish Wish,DJ Khaled Featuring Cardi B & 21 Savage,19,19,2,2019-06-08,2019,23
44,Look What God Gave Her,Thomas Rhett,49,13,49,2019-06-08,2019,23
45,Beautiful Crazy,Luke Combs,42,21,29,2019-06-08,2019,23
46,Speechless,Dan + Shay,-,24,23,2019-06-08,2019,23
47,Close Friends,Lil Baby,59,28,31,2019-06-08,2019,23
48,Easier,5 Seconds Of Summer,-,1,-,2019-06-08,2019,23
49,A Lot,21 Savage,46,12,23,2019-06-08,2019,23
50,Thotiana,Blueface,8,20,8,2019-06-08,2019,23
51,Bury A Friend,Billie Eilish,55,14,18,2019-06-08,2019,23
52,Miss Me More,Kelsea Ballerini,60,17,60,2019-06-08,2019,23
53,Go Loko,"YG, Tyga & Jon Z",92,4,92,2019-06-08,2019,23
54,Eyes On You,Chase Rice,38,15,38,2019-06-08,2019,23
55,Walk Me Home,P!nk,58,49,13,2019-06-08,2019,23
56,Here With Me,Marshmello Featuring CHVRCHES,48,31,12,2019-06-08,2019,23
57,Clout,Offset Featuring Cardi B,56,39,8,2019-06-08,2019,23
